date,stix,malpedia,secnews,cve
2016-04-02,810,0,0,0
2016-04-03,801,0,0,0
2016-04-04,678,1,11,6
2016-04-05,1120,0,21,6
2016-04-06,1182,4,7,21
2016-04-07,1007,1,10,36
2016-04-08,580,1,4,25
2016-04-09,446,0,0,23
2016-04-10,689,0,0,0
2016-04-11,628,1,6,40
2016-04-12,960,1,16,76
2016-04-13,702,1,10,55
2016-04-14,669,2,13,21
2016-04-15,995,1,4,19
2016-04-16,1371,1,0,2
2016-04-17,496,0,0,0
2016-04-18,615,0,0,55
2016-04-19,476,2,2,13
2016-04-20,771,0,4,10
2016-04-21,847,2,20,118
2016-04-22,982,3,15,29
2016-04-23,1102,0,0,0
2016-04-24,450,1,0,0
2016-04-25,568,1,12,29
2016-04-26,763,4,8,8
2016-04-27,567,2,15,28
2016-04-28,617,2,6,8
2016-04-29,613,0,1,1
2016-04-30,561,0,2,19
2016-05-01,601,0,0,4
2016-05-02,703,5,4,36
2016-05-03,1778,2,8,4
2016-05-04,2228,1,11,0
2016-05-05,731,1,11,24
2016-05-06,560,1,8,7
2016-05-07,1228,0,7,18
2016-05-08,1164,0,0,0
2016-05-09,887,2,12,43
2016-05-10,684,1,24,5
2016-05-11,2414,1,7,156
2016-05-12,3197,3,2,5
2016-05-13,1170,1,10,25
2016-05-14,1400,0,6,25
2016-05-15,430,1,0,3
2016-05-16,651,1,12,27
2016-05-17,936,6,11,15
2016-05-18,1152,1,9,5
2016-05-19,1153,1,6,1
2016-05-20,846,1,8,84
2016-05-21,706,0,1,2
2016-05-22,1008,3,0,38
2016-05-23,1429,3,2,28
2016-05-24,682,1,8,1
2016-05-25,426,1,14,13
2016-05-26,1060,4,8,14
2016-05-27,1324,0,12,0
2016-05-28,714,0,0,3
2016-05-29,424,1,0,2
2016-05-30,395,0,0,7
2016-05-31,1430,1,11,13
2016-06-01,1215,0,3,18
2016-06-02,687,1,8,0
2016-06-03,644,2,7,8
2016-06-04,0,0,1,10
2016-06-05,0,0,0,36
2016-06-06,0,1,2,2
2016-06-07,530,0,7,21
2016-06-08,709,2,16,40
2016-06-09,637,2,17,13
2016-06-10,223,0,10,22
2016-06-11,0,1,2,0
2016-06-12,406,0,0,0
2016-06-13,644,1,2,74
2016-06-14,631,4,4,6
2016-06-15,637,3,0,0
2016-06-16,630,1,6,94
2016-06-17,639,3,13,6
2016-06-18,410,0,0,3
2016-06-19,431,0,0,37
2016-06-20,502,0,14,7
2016-06-21,801,1,12,0
2016-06-22,579,1,7,0
2016-06-23,448,1,12,9
2016-06-24,708,1,15,6
2016-06-25,637,2,0,14
2016-06-26,518,0,0,11
2016-06-27,893,0,6,14
2016-06-28,733,1,9,4
2016-06-29,609,1,4,18
2016-06-30,457,4,4,42
2016-07-01,679,1,0,5
2016-07-02,1353,0,0,21
2016-07-03,675,1,0,46
2016-07-04,597,0,0,13
2016-07-05,763,1,4,8
2016-07-06,338,2,12,6
2016-07-07,666,2,14,7
2016-07-08,459,3,20,13
2016-07-09,688,0,1,0
2016-07-10,601,0,0,0
2016-07-11,503,1,10,103
2016-07-12,420,2,7,17
2016-07-13,943,1,4,132
2016-07-14,579,2,3,0
2016-07-15,459,0,11,27
2016-07-16,442,0,0,0
2016-07-17,504,0,0,5
2016-07-18,759,1,5,0
2016-07-19,689,0,6,10
2016-07-20,896,1,8,0
2016-07-21,729,2,6,192
2016-07-22,848,1,2,70
2016-07-23,460,0,0,18
2016-07-24,30,0,1,0
2016-07-25,41,2,4,10
2016-07-26,1277,3,2,4
2016-07-27,937,0,4,0
2016-07-28,922,0,5,10
2016-07-29,708,0,4,0
2016-07-30,487,1,2,0
2016-07-31,540,0,0,0
2016-08-01,346,1,5,14
2016-08-02,635,1,9,14
2016-08-03,910,0,9,9
2016-08-04,703,3,8,1
2016-08-05,537,2,4,84
2016-08-06,14830,0,0,73
2016-08-07,1111,1,0,50
2016-08-08,745,7,11,27
2016-08-09,839,0,8,32
2016-08-10,700,2,19,6
2016-08-11,687,1,5,1
2016-08-12,817,0,8,7
2016-08-13,856,1,1,0
2016-08-14,521,0,2,0
2016-08-15,1069,1,6,0
2016-08-16,964,3,1,0
2016-08-17,531,1,2,0
2016-08-18,946,1,0,6
2016-08-19,859,1,11,17
2016-08-20,639,0,0,0
2016-08-21,504,0,0,0
2016-08-22,463,3,8,11
2016-08-23,1402,3,2,5
2016-08-24,1020,0,9,7
2016-08-25,1434,2,14,8
2016-08-26,1295,0,4,19
2016-08-27,705,0,0,0
2016-08-28,527,1,0,0
2016-08-29,480,3,10,2
2016-08-30,1181,2,11,6
2016-08-31,588,0,9,14
2016-09-01,780,1,14,16
2016-09-02,964,1,10,19
2016-09-03,728,0,0,8
2016-09-04,783,1,0,0
2016-09-05,1185,1,0,0
2016-09-06,926,6,7,2
2016-09-07,1251,3,3,37
2016-09-08,1030,2,5,4
2016-09-09,722,2,2,14
2016-09-10,712,0,0,0
2016-09-11,1097,3,0,61
2016-09-12,592,0,10,24
2016-09-13,1109,4,9,0
2016-09-14,1174,2,9,78
2016-09-15,1255,1,12,0
2016-09-16,1726,2,7,15
2016-09-17,1185,1,0,16
2016-09-18,1408,0,0,29
2016-09-19,1571,1,2,9
2016-09-20,1560,3,9,22
2016-09-21,1573,2,12,43
2016-09-22,642,2,12,30
2016-09-23,1464,3,17,1
2016-09-24,2209,0,0,11
2016-09-25,1485,0,0,77
2016-09-26,1858,2,16,58
2016-09-27,1577,2,10,9
2016-09-28,1863,4,12,3
2016-09-29,1508,1,9,6
2016-09-30,1485,1,2,5
2016-10-01,1254,3,1,3
2016-10-02,1121,0,0,0
2016-10-03,2068,4,0,45
2016-10-04,4480,3,3,1
2016-10-05,4383,2,5,52
2016-10-06,3657,1,2,47
2016-10-07,3813,1,7,14
2016-10-08,3106,0,0,0
2016-10-09,3210,1,0,0
2016-10-10,1701,2,0,107
2016-10-11,3619,3,12,2
2016-10-12,2052,1,6,5
2016-10-13,2062,0,13,99
2016-10-14,2158,0,7,38
2016-10-15,913,1,3,0
2016-10-16,1777,1,0,14
2016-10-17,3675,4,4,8
2016-10-18,1271,2,6,2
2016-10-19,1589,0,9,0
2016-10-20,1559,6,6,1
2016-10-21,1621,1,8,10
2016-10-22,2156,0,1,9
2016-10-23,1452,0,0,0
2016-10-24,1683,2,13,0
2016-10-25,1469,3,15,164
2016-10-26,1748,1,10,7
2016-10-27,1628,6,15,25
2016-10-28,1531,1,8,35
2016-10-29,1349,0,7,6
2016-10-30,1541,0,0,6
2016-10-31,1547,1,5,13
2016-11-01,1730,1,3,1
2016-11-02,1705,3,9,1
2016-11-03,1626,0,10,22
2016-11-04,2152,1,6,21
2016-11-05,1553,0,1,0
2016-11-06,1263,0,0,1
2016-11-07,1535,1,14,2
2016-11-08,1385,2,16,39
2016-11-09,1571,4,8,1
2016-11-10,1258,1,0,77
2016-11-11,1465,0,2,10
2016-11-12,1247,0,0,2
2016-11-13,1640,0,0,0
2016-11-14,1817,2,8,8
2016-11-15,2051,3,11,5
2016-11-16,1786,1,8,13
2016-11-17,1453,2,4,5
2016-11-18,1370,0,7,7
2016-11-19,1237,0,0,13
2016-11-20,1154,0,0,0
2016-11-21,1005,2,4,0
2016-11-22,1291,4,6,11
2016-11-23,1334,2,0,7
2016-11-24,1039,0,0,11
2016-11-25,604,0,0,80
2016-11-26,712,0,0,0
2016-11-27,863,0,0,0
2016-11-28,784,3,4,16
2016-11-29,3159,0,4,11
2016-11-30,1409,4,12,40
2016-12-01,741,2,12,11
2016-12-02,2260,0,4,2
2016-12-03,1550,1,0,9
2016-12-04,1384,0,0,0
2016-12-05,625,0,14,7
2016-12-06,626,2,8,7
2016-12-07,2920,3,1,0
2016-12-08,655,1,3,14
2016-12-09,2466,2,0,20
2016-12-10,555,0,0,17
2016-12-11,597,0,0,48
2016-12-12,3094,1,6,35
2016-12-13,2333,1,16,43
2016-12-14,475,3,7,44
2016-12-15,678,2,16,67
2016-12-16,896,1,14,27
2016-12-17,5140,0,0,9
2016-12-18,1968,1,0,13
2016-12-19,1693,2,2,6
2016-12-20,1628,4,5,47
2016-12-21,1846,1,0,4
2016-12-22,1682,0,2,6
2016-12-23,1423,1,4,29
2016-12-24,1420,2,1,4
2016-12-25,1289,0,0,2
2016-12-26,1093,2,1,3
2016-12-27,1183,5,2,2
2016-12-28,1223,1,9,14
2016-12-29,1409,2,6,45
2016-12-30,952,0,0,9
2016-12-31,1487,0,0,8
2017-01-01,1191,1,0,1
2017-01-02,1129,2,0,26
2017-01-03,1198,2,3,34
2017-01-04,1984,3,6,21
2017-01-05,1556,8,7,15
2017-01-06,1354,2,5,59
2017-01-07,1573,0,0,0
2017-01-08,1596,0,0,0
2017-01-09,1302,2,4,5
2017-01-10,1802,3,4,20
2017-01-11,1523,1,3,54
2017-01-12,1401,2,2,160
2017-01-13,1541,1,6,46
2017-01-14,1422,0,0,10
2017-01-15,1584,0,0,10
2017-01-16,1817,0,2,2
2017-01-17,1485,4,10,16
2017-01-18,1642,6,5,61
2017-01-19,1485,1,13,39
2017-01-20,1255,1,9,25
2017-01-21,1628,1,0,1
2017-01-22,808,2,0,0
2017-01-23,1150,2,11,97
2017-01-24,1747,1,7,11
2017-01-25,1332,1,2,10
2017-01-26,1284,6,2,34
2017-01-27,1085,1,6,262
2017-01-28,923,1,2,45
2017-01-29,919,0,1,0
2017-01-30,1046,5,11,60
2017-01-31,1259,2,4,50
2017-02-01,1021,0,11,145
2017-02-02,1062,2,10,18
2017-02-03,2294,1,13,55
2017-02-04,912,1,0,6
2017-02-05,1073,2,0,3
2017-02-06,971,3,1,33
2017-02-07,899,3,5,34
2017-02-08,960,0,4,87
2017-02-09,1030,1,0,54
2017-02-10,1311,5,1,13
2017-02-11,1096,0,0,0
2017-02-12,979,3,0,6
2017-02-13,963,1,10,124
2017-02-14,949,4,2,5
2017-02-15,996,7,12,93
2017-02-16,959,8,4,31
2017-02-17,1019,0,4,60
2017-02-18,1494,2,1,3
2017-02-19,1157,0,0,0
2017-02-20,1289,2,1,155
2017-02-21,1185,3,17,21
2017-02-22,870,3,10,66
2017-02-23,1175,2,8,13
2017-02-24,1226,2,5,34
2017-02-25,922,1,1,0
2017-02-26,965,1,0,1
2017-02-27,1264,10,6,33
2017-02-28,1465,1,5,12
2017-03-01,978,5,7,58
2017-03-02,1337,1,16,48
2017-03-03,1177,0,9,51
2017-03-04,1312,0,6,8
2017-03-05,1029,0,0,17
2017-03-06,1214,1,4,28
2017-03-07,606,5,9,65
2017-03-08,700,1,13,112
2017-03-09,653,1,4,29
2017-03-10,1956,2,4,26
2017-03-11,963,1,0,9
2017-03-12,586,0,0,15
2017-03-13,768,4,10,17
2017-03-14,1202,6,10,65
2017-03-15,1451,6,13,117
2017-03-16,1160,2,2,39
2017-03-17,1769,3,2,181
2017-03-18,1389,0,1,4
2017-03-19,1071,0,0,3
2017-03-20,1607,1,8,69
2017-03-21,2666,3,6,23
2017-03-22,1553,4,8,28
2017-03-23,1995,3,17,106
2017-03-24,1537,1,10,48
2017-03-25,1913,0,2,2
2017-03-26,886,1,0,8
2017-03-27,1528,2,9,62
2017-03-28,2664,5,8,42
2017-03-29,1281,3,4,42
2017-03-30,1265,6,7,44
2017-03-31,1429,1,1,37
2017-04-01,824,0,1,10
2017-04-02,1228,0,0,176
2017-04-03,943,16,0,54
2017-04-04,1546,4,7,27
2017-04-05,1527,5,5,31
2017-04-06,1638,6,5,38
2017-04-07,1361,1,17,87
2017-04-08,1552,0,0,0
2017-04-09,864,0,0,24
2017-04-10,2520,6,8,94
2017-04-11,1125,1,26,38
2017-04-12,1086,1,12,152
2017-04-13,866,4,3,77
2017-04-14,606,0,10,58
2017-04-15,1012,0,0,3
2017-04-16,847,0,0,1
2017-04-17,915,4,4,30
2017-04-18,1110,4,5,14
2017-04-19,1031,2,7,20
2017-04-20,1661,2,9,103
2017-04-21,1081,5,8,45
2017-04-22,911,0,4,1
2017-04-23,920,1,0,17
